ST,INSTRUMENT_ID,QUESTION,ANSWER_ID,ANSWER_TEXT,ESTIMATE_PERCENTAGE,SE
IL,15,"Comparing now to six months ago, how has the number of hours paid employees worked from home changed?",2,Moderate increase in number of hours worked from home,4.50%,0.90%
IL,15,"Comparing now to six months ago, how has the number of hours paid employees worked from home changed?",3,Little or no change in number of hours worked from home,83.80%,1.46%
IL,15,"Comparing now to six months ago, how has the number of hours paid employees worked from home changed?",4,Moderate decrease in number of hours worked from home,7.00%,1.33%
IL,15,"Comparing now to six months ago, how has the number of hours paid employees worked from home changed?",5,Large decrease in number of hours worked from home,2.40%,0.36%
IL,16,"Comparing now to six months ago, how has demand for this business's goods or services changed?",1,Large increase in demand,5.70%,0.86%
IL,16,"Comparing now to six months ago, how has demand for this business's goods or services changed?",2,Moderate increase in demand,26.50%,0.77%
IL,16,"Comparing now to six months ago, how has demand for this business's goods or services changed?",3,Little or no change in demand,49.60%,1.07%
IL,16,"Comparing now to six months ago, how has demand for this business's goods or services changed?",4,Moderate decrease in demand,13.60%,0.88%
IL,16,"Comparing now to six months ago, how has demand for this business's goods or services changed?",5,Large decrease in demand,4.60%,0.73%
IL,17,"Comparing now to six months ago, how have the prices this business pays for goods and services changed?",1,Large increase in prices,40.70%,2.13%
IL,17,"Comparing now to six months ago, how have the prices this business pays for goods and services changed?",2,Moderate increase in prices,38.20%,2.41%
IL,17,"Comparing now to six months ago, how have the prices this business pays for goods and services changed?",3,Little or no change in prices,19.90%,1.81%
IL,18,"In the next six months, do you think this business will do any of the following?",1,Adopt or expand use of digital technologies,13.90%,0.94%
IL,18,"In the next six months, do you think this business will do any of the following?",2,Change management practices,12.00%,1.38%
IL,18,"In the next six months, do you think this business will do any of the following?",3,Change business strategies,18.60%,2.55%
IL,18,"In the next six months, do you think this business will do any of the following?",4,Introduce new goods or services,11.90%,1.34%
IL,18,"In the next six months, do you think this business will do any of the following?",5,Improve existing goods or services,19.40%,1.63%
IL,18,"In the next six months, do you think this business will do any of the following?",6,Improve methods of producing goods or services,11.70%,1.11%
IL,18,"In the next six months, do you think this business will do any of the following?",7,"Improve methods of logistics, delivery, or distribution",10.10%,1.54%
IL,18,"In the next six months, do you think this business will do any of the following?",8,None of the above,55.30%,2.46%
IL,19,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",1,Yes,34.10%,1.69%
IL,19,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",2,No,32.30%,1.91%
IL,19,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",3,"Not applicable, this business does not usually have business travel expenditures.",33.60%,2.08%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",1,Obtain financial assistance or additional capital,12.80%,1.90%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",2,Identify new supply chain options,24.60%,1.87%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",3,Develop online sales or websites,9.00%,1.33%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",4,Increase marketing or sales,30.80%,2.69%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",5,Identify and hire new employees,42.10%,2.11%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",6,Make a capital expenditure,16.20%,2.64%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",7,Cancel or postpone a planned capital expenditure,9.20%,1.62%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",8,Identify potential markets for exporting products or services,3.20%,0.50%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",9,Permanently close this business,3.20%,0.90%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",10,None of the above,33.80%,2.31%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",2,2-3 months,3.80%,0.98%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",3,4-6 months,9.70%,1.28%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",4,More than 6 months,36.40%,2.17%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",5,I do not believe this business will return to its normal level of operations.,9.90%,1.26%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",7,There has been little or no effect on this business's normal level of operations.,17.90%,1.55%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",8,This business has returned to its normal level of operations.,19.90%,1.70%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",1,Large negative effect,30.50%,1.66%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",2,Moderate negative effect,43.90%,1.63%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",3,Little or no effect,20.00%,1.15%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",4,Moderate positive effect,4.50%,0.78%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",5,Large positive effect,1.10%,0.47%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",1,$0 - $500,8.80%,0.87%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",2,"$501 - $2,500",3.20%,0.83%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",3,"$2,501 - $5,000",3.70%,0.59%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",4,"$5,001 - $15,000",11.20%,0.91%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",5,"$15,001 - $50,000",19.50%,1.45%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",6,"$50,001 - $125,000",15.80%,0.75%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",7,"$125,001 - $200,000",8.10%,1.04%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",8,"$200,001 - $500,000",10.30%,1.21%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",9,"$500,001 or more",9.00%,0.78%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",10,Don't know,10.50%,1.25%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",1,"Yes, increased",11.70%,1.49%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",2,"Yes, decreased",24.70%,1.49%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",3,No change,63.60%,2.22%
IL,5,"In the last week, did this business do any of the following?",2,Temporarily close a location,1.20%,0.32%
IL,5,"In the last week, did this business do any of the following?",4,None of the above,96.90%,0.57%
IL,6,"In the last week, did this business have a change in the number of paid employees?",1,"Yes, increased",8.00%,0.78%
IL,6,"In the last week, did this business have a change in the number of paid employees?",2,"Yes, decreased",7.30%,0.71%
IL,6,"In the last week, did this business have a change in the number of paid employees?",3,No change,84.70%,1.29%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",1,"Yes, increased",10.20%,0.90%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",2,"Yes, decreased",13.30%,0.74%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",3,No change,76.50%,1.45%
IL,8,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",1,Yes,5.70%,1.13%
IL,8,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",2,No,69.40%,0.77%
IL,8,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",3,"Not applicable, this business did not have employees physically coming to work in the last week.",25.00%,1.05%
IL,9,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",1,Yes,1.40%,0.46%
IL,9,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",2,No,73.60%,1.32%
IL,9,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",3,"Not applicable, this business did not have employees physically coming to work in the last week.",25.00%,1.22%
IL,10,"In the last week, did this business have any of the following?",1,Domestic supplier delays,24.70%,1.52%
IL,10,"In the last week, did this business have any of the following?",2,Foreign supplier delays,8.90%,1.02%
IL,10,"In the last week, did this business have any of the following?",3,Difficulty locating alternative domestic suppliers,10.80%,0.63%
IL,10,"In the last week, did this business have any of the following?",4,Difficulty locating alternative foreign suppliers,2.40%,0.56%
IL,10,"In the last week, did this business have any of the following?",5,Production delays at this business,7.50%,0.88%
IL,10,"In the last week, did this business have any of the following?",6,Delays in delivery / shipping to customers,19.40%,1.38%
IL,10,"In the last week, did this business have any of the following?",7,None of the above,67.00%,1.58%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",1,Availability of employees to work,13.10%,1.24%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",2,Ability of employees to work from home,2.90%,0.45%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",3,Availability of COVID-19 tests for employees,1.30%,0.25%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",4,Availability of COVID-19 vaccine for employees,4.30%,0.81%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",5,Physical distancing of employees,7.10%,0.61%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",6,"Physical distancing of customers or clients and/or limits on the number of
concurrent customers or clients",12.40%,0.93%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",7,"Availability of Personal Protective Equipment (PPE) and/or related equipment or
supplies",2.30%,0.53%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",8,Availability of other supplies or inputs used to provide good or services,8.70%,0.68%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",9,None of the above,69.60%,0.76%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,1,Operating capacity has increased 50% or more,1.10%,0.28%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,2,Operating capacity has increased less than 50%,5.20%,0.59%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,3,No change in operating capacity,48.50%,1.64%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,4,Operating capacity has decreased less than 50%,28.30%,1.69%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,5,Operating capacity has decreased 50% or more,16.90%,1.43%
IL,13,"Since March 13, 2020, did this business change the amount of square footage leased/rented for operations?",1,"Yes, increased",1.90%,0.42%
IL,13,"Since March 13, 2020, did this business change the amount of square footage leased/rented for operations?",2,"Yes, decreased",6.20%,0.77%
IL,13,"Since March 13, 2020, did this business change the amount of square footage leased/rented for operations?",3,No change,75.10%,2.28%
IL,13,"Since March 13, 2020, did this business change the amount of square footage leased/rented for operations?",4,"Not applicable, this business does not lease/rent space.",16.80%,1.67%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",1,Canceled planned capital expenditures,11.60%,1.07%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",2,Postponed planned capital expenditures,22.60%,1.70%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",3,Decreased planned capital expenditures,16.40%,1.09%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",4,Increased planned capital expenditures,3.50%,0.33%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",5,Introduced new unplanned capital expenditures,7.70%,0.93%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",6,This business had no changes to planned capital expenditures for 2020.,19.60%,1.29%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",7,This business had no planned capital expenditures for 2020.,32.80%,1.85%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",1,"Paycheck Protection Program (PPP), first time applicant",27.10%,1.95%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",2,"Paycheck Protection Program (PPP), second time applicant",36.70%,2.13%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",3,Paycheck Protection Program (PPP) loan forgiveness,23.90%,1.95%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",4,Economic Injury Disaster Loans (EIDL),9.10%,1.24%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",5,Paid Sick Leave and Paid Family Leave Credit,4.80%,0.39%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",6,Employee Retention and Rehiring Credit,2.80%,0.50%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",7,Other Federal programs,1.40%,0.29%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",8,State or local government programs,3.40%,0.78%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",9,Banks or other financial institutions,3.40%,0.67%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",10,Owners,6.80%,0.61%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",11,Family or friends,3.20%,0.44%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",12,Other sources,1.50%,0.45%
IL,15,"Since December 27, 2020, has this business requested financial assistance from any of the following sources?",13,"This business has not requested financial assistance from any source since December 27, 2020",41.00%,2.48%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",1,Paycheck Protection Program (PPP),40.10%,1.87%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",2,Paycheck Protection Program (PPP) loan forgiveness,19.80%,1.31%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",3,Economic Injury Disaster Loans (EIDL),7.40%,1.18%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",4,Paid Sick Leave and Paid Family Leave Credit,4.10%,0.75%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",5,Employee Retention and Rehiring Credit,1.30%,0.32%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",6,Other Federal programs,1.70%,0.31%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",7,State or local government programs,2.60%,0.77%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",8,Banks or other financial institutions,2.90%,0.48%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",9,Owners,6.80%,0.64%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",10,Family or friends,2.70%,0.26%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",11,Other sources,1.60%,0.35%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",12,"This business has not received financial assistance from any source since December 27, 2020",47.80%,1.98%
IL,17,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",1,Yes,29.80%,1.37%
IL,17,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",2,No,36.50%,2.62%
IL,17,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",3,"Not applicable, this business does not usually have business travel expenditures.",33.70%,2.36%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",1,Obtain financial assistance or additional capital,20.80%,1.36%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",2,Identify new supply chain options,12.80%,0.99%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",3,Develop online sales or websites,10.80%,0.87%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",4,Increase marketing or sales,35.00%,2.29%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",5,Learn how to better provide for the safety of customers and employees,10.90%,1.08%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",6,Identify and hire new employees,30.60%,1.48%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",7,Make a capital expenditure,16.00%,0.69%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",8,Cancel or postpone a planned capital expenditure,6.00%,0.85%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",9,Permanently close this business,3.40%,0.47%
IL,18,"In the next 6 months, do you think this business will need to do any of the following?",10,None of the above,34.10%,2.62%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",2,2-3 months,6.20%,1.00%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",3,4-6 months,16.80%,1.74%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",4,More than 6 months,39.80%,1.53%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",5,I do not believe this business will return to its normal level of operations.,8.80%,0.76%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",6,This business has permanently closed.,2.90%,0.63%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",7,There has been little or no effect on this business's normal level of operations.,13.90%,0.98%
IL,19,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",8,This business has returned to its normal level of operations.,10.80%,0.68%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",1,Large negative effect,39.90%,1.32%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",2,Moderate negative effect,42.50%,1.62%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",3,Little or no effect,11.60%,1.61%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",4,Moderate positive effect,4.80%,1.06%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",5,Large positive effect,1.10%,0.39%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",1,$0 - $500,5.80%,1.22%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",2,"$501 - $2,500",2.90%,0.52%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",3,"$2,501 - $5,000",3.00%,0.58%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",4,"$5,001 - $15,000",11.10%,1.51%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",5,"$15,001 - $50,000",21.00%,1.12%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",6,"$50,001 - $125,000",18.40%,1.75%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",7,"$125,001 - $200,000",8.70%,0.77%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",8,"$200,001 - $500,000",10.60%,0.91%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",9,"$500,001 or more",11.60%,1.48%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",10,Don't know,7.00%,1.01%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",1,"Yes, increased",11.70%,0.96%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",2,"Yes, decreased",36.60%,2.29%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",3,No change,51.70%,1.88%
IL,5,"In the last week, did this business do any of the following?",2,Temporarily close a location,2.10%,0.57%
IL,5,"In the last week, did this business do any of the following?",4,None of the above,96.20%,0.63%
IL,6,"In the last week, did this business have a change in the number of paid employees?",1,"Yes, increased",8.40%,1.01%
IL,6,"In the last week, did this business have a change in the number of paid employees?",2,"Yes, decreased",11.80%,1.04%
IL,6,"In the last week, did this business have a change in the number of paid employees?",3,No change,79.80%,0.97%
IL,7,"In the last week, did this business re-hire any paid employees who had been furloughed or laid off after March 13, 2020?",1,Yes,6.80%,0.89%
IL,7,"In the last week, did this business re-hire any paid employees who had been furloughed or laid off after March 13, 2020?",2,No,38.40%,2.16%
IL,7,"In the last week, did this business re-hire any paid employees who had been furloughed or laid off after March 13, 2020?",3,"This business did not furlough or lay off any paid employees after March 13, 2020.",54.70%,1.71%
IL,8,"In the last week, did this business have a change in the total number of hours worked by paid employees?",1,"Yes, increased",9.50%,0.88%
IL,8,"In the last week, did this business have a change in the total number of hours worked by paid employees?",2,"Yes, decreased",18.30%,1.03%
IL,8,"In the last week, did this business have a change in the total number of hours worked by paid employees?",3,No change,72.20%,1.48%
IL,9,"In the last week, did this business have a change in the total number of hours paid employees worked from home?",1,"Yes, increased",3.40%,0.69%
IL,9,"In the last week, did this business have a change in the total number of hours paid employees worked from home?",2,"Yes, decreased",3.80%,0.70%
IL,9,"In the last week, did this business have a change in the total number of hours paid employees worked from home?",3,No change,37.20%,1.82%
IL,9,"In the last week, did this business have a change in the total number of hours paid employees worked from home?",4,This business does not have paid employees who work from home.,55.50%,1.90%
IL,10,"In the last week, did this business have any of the following?",1,Domestic supplier delays,28.60%,2.28%
IL,10,"In the last week, did this business have any of the following?",2,Foreign supplier delays,8.80%,1.35%
IL,10,"In the last week, did this business have any of the following?",3,Difficulty locating alternate domestic suppliers,12.10%,1.55%
IL,10,"In the last week, did this business have any of the following?",4,Difficulty locating alternate foreign suppliers,3.20%,1.05%
IL,10,"In the last week, did this business have any of the following?",5,Production delays at this business,8.00%,1.06%
IL,10,"In the last week, did this business have any of the following?",6,Delays in delivery / shipping to customers,19.70%,1.68%
IL,10,"In the last week, did this business have any of the following?",7,None of the above,62.90%,2.34%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",1,Ability to re-hire furloughed or laid off employees and/or hire new employees,9.60%,1.05%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",2,Availability of employees to work,13.20%,1.74%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",3,Ability of employees to work from home,3.50%,0.57%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",4,Physical distancing of employees,10.10%,1.19%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",5,Physical distancing of customers or clients and/or limits on the number of concurrent customers or clients,18.60%,1.22%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",6,Availability of Personal Protective Equipment (PPE) and/or related equipment or supplies,8.60%,1.47%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",7,Availability of other supplies or inputs used to provide good or services,14.40%,2.17%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",8,None of the above,59.10%,2.46%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,1,Operating capacity has increased 50% or more,1.40%,0.59%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,2,Operating capacity has increased less than 50%,5.10%,0.83%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,3,No change in operating capacity,34.70%,2.77%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,4,Operating capacity has decreased less than 50%,37.10%,2.65%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,5,Operating capacity has decreased 50% or more,21.70%,1.15%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",1,1-7 days of business operations,5.20%,1.13%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",2,1-2 weeks of business operations,10.40%,1.09%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",3,3-4 weeks of business operations,16.80%,1.60%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",4,1-2 months of business operations,26.30%,1.06%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",5,3 or more months of business operations,22.90%,1.32%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",6,No cash available for business operations,4.00%,0.72%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",7,Don't know,14.40%,1.63%
IL,14,"Since March 13, 2020, has this business missed any loan payments? Loan payments that have been forgiven or postponed should not be considered to be missed.",1,Yes,3.40%,0.46%
IL,14,"Since March 13, 2020, has this business missed any loan payments? Loan payments that have been forgiven or postponed should not be considered to be missed.",2,No,96.60%,0.46%
IL,15,"Since March 13, 2020, has this business missed any other scheduled payments, not including loans? Examples of other scheduled payments include rent, utilities, and payroll. Scheduled payments that have been forgiven or postponed should not be considered to be missed. Select only one:",1,Yes,11.20%,1.15%
IL,15,"Since March 13, 2020, has this business missed any other scheduled payments, not including loans? Examples of other scheduled payments include rent, utilities, and payroll. Scheduled payments that have been forgiven or postponed should not be considered to be missed. Select only one:",2,No,88.80%,1.15%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",1,Paycheck Protection Program (PPP),79.50%,1.81%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",2,Economic Injury Disaster Loans (EIDL),24.80%,1.58%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",3,Small business administration (SBA) loan forgiveness,10.60%,1.18%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",5,Deferral of Federal Employment Tax Deposits and Payments,1.10%,0.23%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",6,Federal sick and family leave tax credits,3.40%,0.66%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",8,Other Federal programs,1.80%,0.42%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",9,State or local government programs,4.80%,0.76%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",10,Banks,9.30%,1.30%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",11,Self,13.50%,1.63%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",12,Family or friends,4.50%,0.98%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",13,Other sources,3.20%,0.74%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",14,"This business has not requested financial assistance from any source since March 13, 2020",15.40%,1.61%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",1,Paycheck Protection Program (PPP),77.60%,1.83%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",2,Economic Injury Disaster Loans (EIDL),21.30%,2.09%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",3,SBA loan forgiveness,7.00%,1.10%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",5,Deferral of Federal Employment Tax Deposits and Payments,1.10%,0.42%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",6,Federal sick and family leave tax credits,3.30%,0.71%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",8,Other Federal programs,1.60%,0.42%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",9,"This business has not requested financial assistance from any source since March 13, 2020",19.20%,1.73%
IL,18,"Since March 13, 2020, has there been an increase in this business's use of online platforms to offer goods or services?",1,Yes,25.70%,1.26%
